resource,activity,timestamp,case,AMOUNT_REQ
112,A_SUBMITTED,2011/10/17 15:05:35,177573,6000
112,A_PARTLYSUBMITTED,2011/10/17 15:05:35,177573,6000
10889,A_DECLINED,2011/10/17 16:06:21,177573,6000
112,A_SUBMITTED,2011/11/28 20:29:20,189700,15000
112,A_PARTLYSUBMITTED,2011/11/28 20:29:20,189700,15000
112,A_PREACCEPTED,2011/11/28 20:30:05,189700,15000
10910,A_ACCEPTED,2011/11/29 9:33:34,189700,15000
10910,A_FINALIZED,2011/11/29 9:34:15,189700,15000
11169,A_CANCELLED,2011/12/20 13:11:37,189700,15000
112,A_SUBMITTED,2012/2/8 8:07:27,207368,1000
112,A_PARTLYSUBMITTED,2012/2/8 8:07:27,207368,1000
11169,A_PREACCEPTED,2012/2/8 8:17:50,207368,1000
11169,A_DECLINED,2012/2/8 10:47:00,207368,1000
112,A_SUBMITTED,2011/11/8 18:14:01,183229,1000
112,A_PARTLYSUBMITTED,2011/11/8 18:14:01,183229,1000
10862,A_PREACCEPTED,2011/11/8 18:40:27,183229,1000
10880,A_DECLINED,2011/11/15 17:15:06,183229,1000
112,A_SUBMITTED,2012/1/5 8:02:38,198208,8000
112,A_PARTLYSUBMITTED,2012/1/5 8:02:38,198208,8000
112,A_DECLINED,2012/1/5 8:03:14,198208,8000
112,A_SUBMITTED,2011/11/10 13:30:13,183973,10000
112,A_PARTLYSUBMITTED,2011/11/10 13:30:13,183973,10000
11189,A_DECLINED,2011/11/10 14:56:40,183973,10000
112,A_SUBMITTED,2011/11/30 19:59:41,190276,10000
112,A_PARTLYSUBMITTED,2011/11/30 19:59:41,190276,10000
11120,A_DECLINED,2011/12/1 8:27:03,190276,10000
112,A_SUBMITTED,2012/1/13 15:03:48,200629,5000
112,A_PARTLYSUBMITTED,2012/1/13 15:03:48,200629,5000
112,A_DECLINED,2012/1/13 15:04:23,200629,5000
112,A_SUBMITTED,2012/2/22 9:43:42,211679,8000
112,A_PARTLYSUBMITTED,2012/2/22 9:43:42,211679,8000
112,A_DECLINED,2012/2/22 9:44:20,211679,8000
112,A_SUBMITTED,2012/1/12 14:00:41,200230,9000
112,A_PARTLYSUBMITTED,2012/1/12 14:00:41,200230,9000
112,A_DECLINED,2012/1/12 14:01:13,200230,9000
112,A_SUBMITTED,2011/11/21 16:13:50,187852,15000
112,A_PARTLYSUBMITTED,2011/11/21 16:13:50,187852,15000
112,A_DECLINED,2011/11/21 16:14:30,187852,15000
112,A_SUBMITTED,2011/11/7 10:30:26,182753,45000
112,A_PARTLYSUBMITTED,2011/11/7 10:30:27,182753,45000
112,A_DECLINED,2011/11/7 10:31:29,182753,45000
112,A_SUBMITTED,2011/11/4 18:42:07,182332,23000
112,A_PARTLYSUBMITTED,2011/11/4 18:42:07,182332,23000
10881,A_DECLINED,2011/11/4 18:59:36,182332,23000
112,A_SUBMITTED,2011/10/14 15:17:31,177023,9400
112,A_PARTLYSUBMITTED,2011/10/14 15:17:32,177023,9400
10629,A_PREACCEPTED,2011/10/14 17:29:25,177023,9400
11200,A_ACCEPTED,2011/10/14 17:48:38,177023,9400
11200,A_FINALIZED,2011/10/14 17:56:02,177023,9400
10138,A_APPROVED,2011/11/2 10:56:46,177023,9400
10138,A_ACTIVATED,2011/11/2 10:56:46,177023,9400
10138,A_REGISTERED,2011/11/2 10:56:46,177023,9400
112,A_SUBMITTED,2011/11/22 21:25:57,188271,6000
112,A_PARTLYSUBMITTED,2011/11/22 21:25:57,188271,6000
112,A_PREACCEPTED,2011/11/22 21:26:27,188271,6000
10939,A_ACCEPTED,2011/11/23 15:18:08,188271,6000
10939,A_FINALIZED,2011/11/23 15:21:07,188271,6000
10138,A_APPROVED,2011/12/8 9:57:51,188271,6000
10138,A_ACTIVATED,2011/12/8 9:57:51,188271,6000
10138,A_REGISTERED,2011/12/8 9:57:51,188271,6000
112,A_SUBMITTED,2012/1/23 9:12:38,203149,25000
112,A_PARTLYSUBMITTED,2012/1/23 9:12:39,203149,25000
11180,A_PREACCEPTED,2012/1/23 9:15:30,203149,25000
11180,A_ACCEPTED,2012/1/23 9:17:54,203149,25000
11180,A_FINALIZED,2012/1/23 9:18:32,203149,25000
112,A_CANCELLED,2012/2/23 8:15:27,203149,25000
112,A_SUBMITTED,2012/1/31 20:13:24,205430,12500
112,A_PARTLYSUBMITTED,2012/1/31 20:13:24,205430,12500
11000,A_PREACCEPTED,2012/2/1 8:18:42,205430,12500
11299,A_DECLINED,2012/2/29 17:24:20,205430,12500
112,A_SUBMITTED,2012/2/22 19:00:14,211919,5000
112,A_PARTLYSUBMITTED,2012/2/22 19:00:14,211919,5000
11003,A_DECLINED,2012/2/22 19:11:14,211919,5000
112,A_SUBMITTED,2011/12/18 8:59:53,194296,10000
112,A_PARTLYSUBMITTED,2011/12/18 8:59:56,194296,10000
10932,A_DECLINED,2011/12/19 8:57:19,194296,10000
112,A_SUBMITTED,2011/12/29 13:14:29,196407,10000
112,A_PARTLYSUBMITTED,2011/12/29 13:14:29,196407,10000
112,A_PREACCEPTED,2011/12/29 13:15:11,196407,10000
11180,A_ACCEPTED,2011/12/29 18:18:26,196407,10000
11180,A_FINALIZED,2011/12/29 18:23:56,196407,10000
10138,A_APPROVED,2012/2/9 14:41:27,196407,10000
10138,A_REGISTERED,2012/2/9 14:41:27,196407,10000
10138,A_ACTIVATED,2012/2/9 14:41:27,196407,10000
112,A_SUBMITTED,2011/11/2 23:10:12,181859,10000
112,A_PARTLYSUBMITTED,2011/11/2 23:10:12,181859,10000
10913,A_DECLINED,2011/11/3 10:00:40,181859,10000
112,A_SUBMITTED,2011/10/23 17:01:29,179275,10000
112,A_PARTLYSUBMITTED,2011/10/23 17:01:29,179275,10000
112,A_DECLINED,2011/10/23 17:02:07,179275,10000
112,A_SUBMITTED,2011/12/1 10:25:54,190384,53000
112,A_PARTLYSUBMITTED,2011/12/1 10:25:55,190384,53000
112,A_PREACCEPTED,2011/12/1 10:26:33,190384,53000
112,A_CANCELLED,2012/1/1 8:15:14,190384,53000
112,A_SUBMITTED,2012/2/2 3:02:01,205806,6500
112,A_PARTLYSUBMITTED,2012/2/2 3:02:02,205806,6500
11169,A_PREACCEPTED,2012/2/2 8:19:03,205806,6500
11203,A_CANCELLED,2012/2/3 12:14:57,205806,6500
112,A_SUBMITTED,2011/12/12 19:52:30,193089,35000
112,A_PARTLYSUBMITTED,2011/12/12 19:52:31,193089,35000
11169,A_PREACCEPTED,2011/12/13 8:08:58,193089,35000
11181,A_DECLINED,2011/12/13 14:00:14,193089,35000
112,A_SUBMITTED,2012/1/24 11:43:56,203552,3000
112,A_PARTLYSUBMITTED,2012/1/24 11:43:57,203552,3000
10982,A_DECLINED,2012/1/24 11:51:27,203552,3000
112,A_SUBMITTED,2011/11/1 6:22:49,181219,2000
112,A_PARTLYSUBMITTED,2011/11/1 6:22:58,181219,2000
11169,A_DECLINED,2011/11/1 8:22:26,181219,2000
112,A_SUBMITTED,2011/12/21 18:06:00,194991,29000
112,A_PARTLYSUBMITTED,2011/12/21 18:06:00,194991,29000
112,A_PREACCEPTED,2011/12/21 18:06:41,194991,29000
11122,A_ACCEPTED,2011/12/21 18:12:10,194991,29000
11122,A_FINALIZED,2011/12/21 18:14:13,194991,29000
10138,A_REGISTERED,2012/1/5 9:01:25,194991,29000
10138,A_APPROVED,2012/1/5 9:01:25,194991,29000
10138,A_ACTIVATED,2012/1/5 9:01:25,194991,29000
112,A_SUBMITTED,2012/2/26 14:28:35,212965,5000
112,A_PARTLYSUBMITTED,2012/2/26 14:28:35,212965,5000
11009,A_PREACCEPTED,2012/2/27 10:06:16,212965,5000
10933,A_ACCEPTED,2012/2/27 19:49:58,212965,5000
10933,A_FINALIZED,2012/2/27 19:53:40,212965,5000
112,A_SUBMITTED,2011/12/31 10:19:44,196880,25000
112,A_PARTLYSUBMITTED,2011/12/31 10:19:44,196880,25000
10982,A_PREACCEPTED,2011/12/31 12:59:39,196880,25000
11180,A_CANCELLED,2012/1/2 17:30:59,196880,25000
112,A_SUBMITTED,2012/1/3 21:55:42,197773,6000
112,A_PARTLYSUBMITTED,2012/1/3 21:55:42,197773,6000
11179,A_PREACCEPTED,2012/1/4 8:48:53,197773,6000
10939,A_ACCEPTED,2012/1/5 9:55:42,197773,6000
10939,A_FINALIZED,2012/1/5 9:59:15,197773,6000
10609,A_ACTIVATED,2012/1/17 8:55:51,197773,6000
10609,A_REGISTERED,2012/1/17 8:55:51,197773,6000
10609,A_APPROVED,2012/1/17 8:55:51,197773,6000
112,A_SUBMITTED,2012/1/26 13:12:08,204221,13500
112,A_PARTLYSUBMITTED,2012/1/26 13:12:08,204221,13500
112,A_PREACCEPTED,2012/1/26 13:12:45,204221,13500
11169,A_CANCELLED,2012/1/26 14:07:32,204221,13500
112,A_SUBMITTED,2011/10/16 12:48:55,177299,20000
112,A_PARTLYSUBMITTED,2011/10/16 12:48:57,177299,20000
112,A_PREACCEPTED,2011/10/16 12:49:42,177299,20000
10881,A_ACCEPTED,2011/10/17 9:06:03,177299,20000
10881,A_FINALIZED,2011/10/17 9:07:35,177299,20000
10138,A_ACTIVATED,2011/11/2 10:07:28,177299,20000
10138,A_APPROVED,2011/11/2 10:07:28,177299,20000
10138,A_REGISTERED,2011/11/2 10:07:28,177299,20000
112,A_SUBMITTED,2011/11/9 19:45:22,183597,4000
112,A_PARTLYSUBMITTED,2011/11/9 19:45:22,183597,4000
11202,A_DECLINED,2011/11/10 11:14:50,183597,4000
112,A_SUBMITTED,2012/2/3 12:26:06,206246,50000
112,A_PARTLYSUBMITTED,2012/2/3 12:26:07,206246,50000
112,A_PREACCEPTED,2012/2/3 12:26:44,206246,50000
11202,A_ACCEPTED,2012/2/3 18:41:56,206246,50000
11202,A_FINALIZED,2012/2/3 18:51:35,206246,50000
10972,A_DECLINED,2012/2/29 9:20:41,206246,50000
112,A_SUBMITTED,2011/11/4 23:02:54,182374,5000
112,A_PARTLYSUBMITTED,2011/11/4 23:02:55,182374,5000
10889,A_PREACCEPTED,2011/11/5 9:11:05,182374,5000
10862,A_ACCEPTED,2011/11/5 11:40:37,182374,5000
10862,A_FINALIZED,2011/11/5 11:46:02,182374,5000
11200,A_CANCELLED,2011/11/14 10:23:24,182374,5000
112,A_SUBMITTED,2011/11/18 8:21:53,186875,5000
112,A_PARTLYSUBMITTED,2011/11/18 8:21:53,186875,5000
112,A_DECLINED,2011/11/18 8:22:29,186875,5000
