resource,activity,timestamp,case,AMOUNT_REQ
10932,O_SELECTED,2012/2/15 10:44:39,209422,10000
10932,O_CREATED,2012/2/15 10:44:40,209422,10000
10932,O_SENT,2012/2/15 10:44:41,209422,10000
11049,O_SENT_BACK,2012/2/21 9:20:37,209422,10000
10138,O_ACCEPTED,2012/2/21 11:20:28,209422,10000
11202,O_SELECTED,2012/1/17 18:17:14,201779,25000
11202,O_CREATED,2012/1/17 18:17:16,201779,25000
11202,O_SENT,2012/1/17 18:17:16,201779,25000
11259,O_SENT_BACK,2012/2/10 9:30:03,201779,25000
10138,O_DECLINED,2012/2/13 11:04:09,201779,25000
11169,O_SELECTED,2012/2/28 10:47:27,213249,6000
11169,O_CREATED,2012/2/28 10:47:28,213249,6000
11169,O_SENT,2012/2/28 10:47:28,213249,6000
11180,O_SELECTED,2011/12/29 16:34:04,196305,20000
11180,O_CREATED,2011/12/29 16:34:06,196305,20000
11180,O_SENT,2011/12/29 16:34:06,196305,20000
11180,O_CANCELLED,2012/1/23 10:46:01,196305,20000
10910,O_SELECTED,2012/1/24 19:46:53,203495,12000
10910,O_CREATED,2012/1/24 19:46:55,203495,12000
10910,O_SENT,2012/1/24 19:46:55,203495,12000
10899,O_SENT_BACK,2012/2/1 12:58:01,203495,12000
10972,O_ACCEPTED,2012/2/7 15:08:27,203495,12000
11121,O_SELECTED,2011/11/30 11:48:00,190120,25000
11121,O_CREATED,2011/11/30 11:48:01,190120,25000
11121,O_SENT,2011/11/30 11:48:02,190120,25000
11121,O_CANCELLED,2011/12/13 10:37:43,190120,25000
10861,O_SELECTED,2012/1/25 11:36:51,203844,8500
10861,O_CREATED,2012/1/25 11:36:53,203844,8500
10861,O_SENT,2012/1/25 11:36:53,203844,8500
10899,O_SENT_BACK,2012/2/7 8:58:05,203844,8500
10609,O_ACCEPTED,2012/2/13 15:18:28,203844,8500
11003,O_SELECTED,2012/1/30 17:27:24,204915,25000
11003,O_CREATED,2012/1/30 17:27:24,204915,25000
11003,O_SENT,2012/1/30 17:27:24,204915,25000
11203,O_CANCELLED,2012/2/7 13:16:45,204915,25000
11203,O_SELECTED,2012/2/7 13:16:45,204915,25000
11203,O_CREATED,2012/2/7 13:16:47,204915,25000
11203,O_SENT,2012/2/7 13:16:48,204915,25000
11203,O_SELECTED,2012/2/27 13:53:13,204915,25000
11203,O_CANCELLED,2012/2/27 13:53:13,204915,25000
11203,O_CREATED,2012/2/27 13:53:15,204915,25000
11203,O_SENT,2012/2/27 13:53:15,204915,25000
11049,O_SENT_BACK,2012/2/28 13:07:39,204915,25000
10972,O_DECLINED,2012/3/1 16:43:20,204915,25000
10939,O_SELECTED,2011/11/15 19:22:09,185689,22500
10939,O_CREATED,2011/11/15 19:22:10,185689,22500
10939,O_SENT,2011/11/15 19:22:10,185689,22500
11180,O_CANCELLED,2011/11/24 17:23:04,185689,22500
11200,O_SELECTED,2011/11/22 15:42:33,188140,10000
11200,O_CREATED,2011/11/22 15:42:34,188140,10000
11200,O_SENT,2011/11/22 15:42:34,188140,10000
11259,O_SENT_BACK,2011/11/30 9:31:07,188140,10000
10609,O_ACCEPTED,2011/12/6 10:00:41,188140,10000
10982,O_SELECTED,2012/1/24 10:28:16,202824,25000
10982,O_CREATED,2012/1/24 10:28:17,202824,25000
10982,O_SENT,2012/1/24 10:28:18,202824,25000
11259,O_SENT_BACK,2012/2/3 13:46:49,202824,25000
10138,O_ACCEPTED,2012/2/9 11:10:22,202824,25000
11122,O_SELECTED,2012/2/3 19:31:07,206201,25000
11122,O_CREATED,2012/2/3 19:31:08,206201,25000
11122,O_SENT,2012/2/3 19:31:08,206201,25000
10933,O_CANCELLED,2012/3/1 17:05:30,206201,25000
10909,O_SELECTED,2011/10/25 17:33:07,179760,20000
10909,O_CREATED,2011/10/25 17:33:09,179760,20000
10909,O_SENT,2011/10/25 17:33:09,179760,20000
11180,O_CANCELLED,2011/11/14 19:58:39,179760,20000
11122,O_SELECTED,2011/10/19 18:21:38,178371,5000
11122,O_CREATED,2011/10/19 18:21:39,178371,5000
11122,O_SENT,2011/10/19 18:21:39,178371,5000
112,O_CANCELLED,2011/11/19 8:15:38,178371,5000
11122,O_SELECTED,2011/10/5 11:36:42,174686,7500
11122,O_CREATED,2011/10/5 11:37:31,174686,7500
11122,O_SENT,2011/10/5 11:37:31,174686,7500
11029,O_SENT_BACK,2011/10/11 8:11:22,174686,7500
10629,O_ACCEPTED,2011/10/13 14:12:42,174686,7500
10913,O_SELECTED,2011/11/17 18:04:41,186139,5000
10913,O_CREATED,2011/11/17 18:04:41,186139,5000
10913,O_SENT,2011/11/17 18:04:41,186139,5000
112,O_CANCELLED,2011/12/18 8:15:38,186139,5000
11169,O_SELECTED,2012/1/25 10:53:48,203802,32000
11169,O_CREATED,2012/1/25 10:53:49,203802,32000
11169,O_SENT,2012/1/25 10:53:49,203802,32000
10789,O_SENT_BACK,2012/2/3 10:20:31,203802,32000
10972,O_ACCEPTED,2012/3/6 15:53:27,203802,32000
10909,O_SELECTED,2011/10/7 8:31:07,175275,26000
10909,O_CREATED,2011/10/7 8:31:09,175275,26000
10909,O_SENT,2011/10/7 8:31:09,175275,26000
10909,O_CANCELLED,2011/11/1 16:55:59,175275,26000
10909,O_SELECTED,2011/11/1 16:55:59,175275,26000
10909,O_CREATED,2011/11/1 16:56:01,175275,26000
10909,O_SENT,2011/11/1 16:56:02,175275,26000
11121,O_CANCELLED,2011/11/12 10:08:33,175275,26000
11179,O_SELECTED,2011/12/3 9:31:38,190842,10000
11179,O_CREATED,2011/12/3 9:31:40,190842,10000
11179,O_SENT,2011/12/3 9:31:40,190842,10000
11179,O_SELECTED,2011/12/3 9:32:27,190842,10000
11179,O_CANCELLED,2011/12/3 9:32:27,190842,10000
11179,O_CREATED,2011/12/3 9:32:28,190842,10000
11179,O_SENT,2011/12/3 9:32:28,190842,10000
11003,O_SELECTED,2011/12/12 14:50:04,190842,10000
11003,O_CANCELLED,2011/12/12 14:50:04,190842,10000
11003,O_CREATED,2011/12/12 14:50:05,190842,10000
11003,O_SENT,2011/12/12 14:50:05,190842,10000
11259,O_SENT_BACK,2011/12/28 8:55:20,190842,10000
10609,O_CANCELLED,2012/1/17 14:21:31,190842,10000
10909,O_SELECTED,2011/10/4 17:40:47,173871,15500
10909,O_CREATED,2011/10/4 17:40:48,173871,15500
10909,O_SENT,2011/10/4 17:40:48,173871,15500
11029,O_SENT_BACK,2011/10/11 8:01:11,173871,15500
10138,O_DECLINED,2011/10/14 8:05:54,173871,15500
11203,O_SELECTED,2011/12/27 19:00:57,195618,5000
11203,O_CREATED,2011/12/27 19:00:58,195618,5000
11203,O_SENT,2011/12/27 19:00:58,195618,5000
112,O_CANCELLED,2012/1/27 8:15:45,195618,5000
10889,O_SELECTED,2011/12/5 18:36:21,191482,18000
10889,O_CREATED,2011/12/5 18:36:23,191482,18000
10889,O_SENT,2011/12/5 18:36:24,191482,18000
10899,O_SENT_BACK,2011/12/14 9:25:52,191482,18000
10972,O_ACCEPTED,2011/12/19 8:15:33,191482,18000
10228,O_SELECTED,2012/2/14 15:37:51,209374,5000
10228,O_CREATED,2012/2/14 15:37:52,209374,5000
10228,O_SENT,2012/2/14 15:37:52,209374,5000
11000,O_CANCELLED,2012/2/14 15:54:56,209374,5000
11000,O_SELECTED,2012/2/14 15:54:56,209374,5000
11000,O_CREATED,2012/2/14 15:54:57,209374,5000
11000,O_SENT,2012/2/14 15:54:57,209374,5000
11259,O_SENT_BACK,2012/2/23 9:27:20,209374,5000
10138,O_ACCEPTED,2012/2/24 15:04:37,209374,5000
10912,O_SELECTED,2012/2/17 13:50:42,210347,15000
10912,O_CREATED,2012/2/17 13:50:44,210347,15000
10912,O_SENT,2012/2/17 13:50:44,210347,15000
10899,O_SENT_BACK,2012/2/21 11:16:40,210347,15000
10138,O_ACCEPTED,2012/2/22 10:17:35,210347,15000
10861,O_SELECTED,2012/2/27 16:58:53,212950,8500
10861,O_CREATED,2012/2/27 16:58:55,212950,8500
10861,O_SENT,2012/2/27 16:58:55,212950,8500
11049,O_SENT_BACK,2012/3/5 10:30:32,212950,8500
10609,O_ACCEPTED,2012/3/7 6:54:05,212950,8500
10982,O_SELECTED,2012/1/7 10:20:22,198744,10000
10982,O_CREATED,2012/1/7 10:20:23,198744,10000
10982,O_SENT,2012/1/7 10:20:23,198744,10000
11049,O_SENT_BACK,2012/1/16 10:03:51,198744,10000
10629,O_ACCEPTED,2012/1/18 14:26:16,198744,10000
11169,O_SELECTED,2011/12/14 15:13:32,193542,17000
11169,O_CREATED,2011/12/14 15:13:33,193542,17000
11169,O_SENT,2011/12/14 15:13:33,193542,17000
112,O_CANCELLED,2012/1/14 8:15:43,193542,17000
11189,O_SELECTED,2011/10/19 14:43:34,178254,9000
11189,O_CREATED,2011/10/19 14:43:35,178254,9000
11189,O_SENT,2011/10/19 14:43:35,178254,9000
11029,O_SENT_BACK,2011/10/26 9:49:18,178254,9000
10609,O_ACCEPTED,2011/11/1 9:33:16,178254,9000
11019,O_SELECTED,2011/12/19 12:06:50,194427,22000
11019,O_CREATED,2011/12/19 12:06:51,194427,22000
11019,O_SENT,2011/12/19 12:06:51,194427,22000
11019,O_SELECTED,2011/12/19 12:08:40,194427,22000
11019,O_CANCELLED,2011/12/19 12:08:40,194427,22000
11019,O_CREATED,2011/12/19 12:08:41,194427,22000
11019,O_SENT,2011/12/19 12:08:41,194427,22000
