resource,activity,timestamp,role,travel_permit_number,Task,OrganizationalEntity,RequestedAmount,Permit_TaskNumber,Permit_BudgetNumber,Permit_ProjectNumber,project,case,OrganizationalEntity.1,RequestedBudget,Permitid,ActivityNumber
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2017/6/8 14:28:18.00,EMPLOYEE,travel permit number 80118,task 80121,organizational unit 65457,2033.004176,task 427,budget 1956,project 13656,project 503,request for payment 80126,organizational unit 65458,3867.127508,travel permit 80117,UNKNOWN
STAFF MEMBER,Permit APPROVED by PRE_APPROVER,2017/6/8 15:06:23.00,PRE_APPROVER,travel permit number 80118,task 80121,organizational unit 65457,2033.004176,task 427,budget 1956,project 13656,project 503,request for payment 80126,organizational unit 65458,3867.127508,travel permit 80117,UNKNOWN
STAFF MEMBER,Permit APPROVED by SUPERVISOR,2017/6/12 6:57:36.00,SUPERVISOR,travel permit number 80118,task 80121,organizational unit 65457,2033.004176,task 427,budget 1956,project 13656,project 503,request for payment 80126,organizational unit 65458,3867.127508,travel permit 80117,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by DIRECTOR,2017/6/13 9:53:28.00,DIRECTOR,travel permit number 80118,task 80121,organizational unit 65457,2033.004176,task 427,budget 1956,project 13656,project 503,request for payment 80126,organizational unit 65458,3867.127508,travel permit 80117,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2017/7/24 9:35:24.00,EMPLOYEE,travel permit number 80118,task 80121,organizational unit 65457,2033.004176,task 427,budget 1956,project 13656,project 503,request for payment 80126,organizational unit 65458,3867.127508,travel permit 80117,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,2017/7/24 9:38:28.00,PRE_APPROVER,travel permit number 80118,task 80121,organizational unit 65457,2033.004176,task 427,budget 1956,project 13656,project 503,request for payment 80126,organizational unit 65458,3867.127508,travel permit 80117,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by SUPERVISOR,2017/7/31 3:15:09.00,SUPERVISOR,travel permit number 80118,task 80121,organizational unit 65457,2033.004176,task 427,budget 1956,project 13656,project 503,request for payment 80126,organizational unit 65458,3867.127508,travel permit 80117,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by DIRECTOR,2017/8/1 6:09:05.00,DIRECTOR,travel permit number 80118,task 80121,organizational unit 65457,2033.004176,task 427,budget 1956,project 13656,project 503,request for payment 80126,organizational unit 65458,3867.127508,travel permit 80117,UNKNOWN
SYSTEM,Request Payment,2017/8/31 12:37:19.00,UNDEFINED,travel permit number 80118,task 80121,organizational unit 65457,2033.004176,task 427,budget 1956,project 13656,project 503,request for payment 80126,organizational unit 65458,3867.127508,travel permit 80117,UNKNOWN
SYSTEM,Payment Handled,2017/9/4 15:31:24.00,UNDEFINED,travel permit number 80118,task 80121,organizational unit 65457,2033.004176,task 427,budget 1956,project 13656,project 503,request for payment 80126,organizational unit 65458,3867.127508,travel permit 80117,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/1/8 8:16:33.00,EMPLOYEE,travel permit number 424,UNKNOWN,organizational unit 65462,110.8653281,task 427,budget 425,project 426,project 503,request for payment 185751,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/1/8 8:16:50.00,ADMINISTRATION,travel permit number 424,UNKNOWN,organizational unit 65462,110.8653281,task 427,budget 425,project 426,project 503,request for payment 185751,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by BUDGET OWNER,2018/1/9 7:36:52.00,BUDGET OWNER,travel permit number 424,UNKNOWN,organizational unit 65462,110.8653281,task 427,budget 425,project 426,project 503,request for payment 185751,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/1/9 13:32:14.00,SUPERVISOR,travel permit number 424,UNKNOWN,organizational unit 65462,110.8653281,task 427,budget 425,project 426,project 503,request for payment 185751,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
SYSTEM,Request Payment,2018/1/9 16:17:14.00,UNDEFINED,travel permit number 424,UNKNOWN,organizational unit 65462,110.8653281,task 427,budget 425,project 426,project 503,request for payment 185751,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
SYSTEM,Payment Handled,2018/1/11 16:30:57.00,UNDEFINED,travel permit number 424,UNKNOWN,organizational unit 65462,110.8653281,task 427,budget 425,project 426,project 503,request for payment 185751,organizational unit 65454,923.0813154,travel permit 423,UNKNOWN
STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018/1/8 15:42:24.00,EMPLOYEE,travel permit number 65569,task 8457,organizational unit 65461,360.4188107,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.13396,travel permit 65568,UNKNOWN
STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018/1/8 15:42:27.00,ADMINISTRATION,travel permit number 65569,task 8457,organizational unit 65461,360.4188107,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.13396,travel permit 65568,UNKNOWN
STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018/1/8 21:47:26.00,SUPERVISOR,travel permit number 65569,task 8457,organizational unit 65461,360.4188107,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.13396,travel permit 65568,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018/2/12 9:29:50.00,EMPLOYEE,travel permit number 65569,task 8457,organizational unit 65461,360.4188107,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.13396,travel permit 65568,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018/2/12 9:39:14.00,ADMINISTRATION,travel permit number 65569,task 8457,organizational unit 65461,360.4188107,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.13396,travel permit 65568,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018/2/13 10:24:49.00,SUPERVISOR,travel permit number 65569,task 8457,organizational unit 65461,360.4188107,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.13396,travel permit 65568,UNKNOWN
SYSTEM,Request Payment,2018/2/13 11:33:30.00,UNDEFINED,travel permit number 65569,task 8457,organizational unit 65461,360.4188107,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.13396,travel permit 65568,UNKNOWN
SYSTEM,Payment Handled,2018/2/15 16:31:19.00,UNDEFINED,travel permit number 65569,task 8457,organizational unit 65461,360.4188107,task 427,budget 2976,project 11391,project 503,request for payment 65570,organizational unit 65456,1261.13396,travel permit 65568,UNKNOWN
