case_id,description
891,Confirmation of receipt → T02 Check confirmation of receipt → T03 Adjust confirmation of receipt → T02 Check confirmation of receipt → T03 Adjust confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T11 Create document X request unlicensed → T12 Check document X request unlicensed → T14 Determine document X request unlicensed → T15 Print document X request unlicensed
3756,Confirmation of receipt → T06 Determine necessity of stop advice → T02 Check confirmation of receipt → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
3766,Confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T02 Check confirmation of receipt → T03 Adjust confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
3818,Confirmation of receipt → T06 Determine necessity of stop advice → T02 Check confirmation of receipt → T03 Adjust confirmation of receipt → T02 Check confirmation of receipt → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T03 Adjust confirmation of receipt → T02 Check confirmation of receipt → T03 Adjust confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
416,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
3991,Confirmation of receipt → T06 Determine necessity of stop advice → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T10 Determine necessity to stop indication → T05 Print and send confirmation of receipt
3984,Confirmation of receipt → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T07-1 Draft intern advice aspect 1 → T08 Draft and send request for advice → T09-1 Process or receive external advice from party 1 → T07-3 Draft intern advice hold for aspect 3 → T07-4 Draft internal advice to hold for type 4 → T07-2 Draft intern advice aspect 2 → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
3987,Confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
4008,Confirmation of receipt
3961,Confirmation of receipt → T06 Determine necessity of stop advice → T07-3 Draft intern advice hold for aspect 3 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
3879,Confirmation of receipt → T02 Check confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
3877,Confirmation of receipt → T06 Determine necessity of stop advice → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T08 Draft and send request for advice → T07-5 Draft intern advice aspect 5 → T09-4 Process or receive external advice from party 4 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
4021,Confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T16 Report reasons to hold request → T17 Check report Y to stop indication → T19 Determine report Y to stop indication → T20 Print report Y to stop indication → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
709,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T07-2 Draft intern advice aspect 2 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
