case_id,description
10263,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T06 Determine necessity of stop advice → T05 Print and send confirmation of receipt
3877,Confirmation of receipt → T06 Determine necessity of stop advice → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T08 Draft and send request for advice → T07-5 Draft intern advice aspect 5 → T09-4 Process or receive external advice from party 4 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
6028,Confirmation of receipt → T06 Determine necessity of stop advice → T07-2 Draft intern advice aspect 2 → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
4161,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T03 Adjust confirmation of receipt → T06 Determine necessity of stop advice
4157,Confirmation of receipt → T06 Determine necessity of stop advice → T06 Determine necessity of stop advice → T06 Determine necessity of stop advice → T07-4 Draft internal advice to hold for type 4 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
10073,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T08 Draft and send request for advice → T09-1 Process or receive external advice from party 1 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
4185,Confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T02 Check confirmation of receipt → T03 Adjust confirmation of receipt → T02 Check confirmation of receipt → T03 Adjust confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T03 Adjust confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
5597,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T11 Create document X request unlicensed → T12 Check document X request unlicensed → T14 Determine document X request unlicensed → T15 Print document X request unlicensed
3991,Confirmation of receipt → T06 Determine necessity of stop advice → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T10 Determine necessity to stop indication → T05 Print and send confirmation of receipt
4021,Confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T16 Report reasons to hold request → T17 Check report Y to stop indication → T19 Determine report Y to stop indication → T20 Print report Y to stop indication → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
4808,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T06 Determine necessity of stop advice → T05 Print and send confirmation of receipt → T07-2 Draft intern advice aspect 2 → T06 Determine necessity of stop advice → T07-2 Draft intern advice aspect 2 → T06 Determine necessity of stop advice → T07-2 Draft intern advice aspect 2 → T06 Determine necessity of stop advice → T07-2 Draft intern advice aspect 2 → T06 Determine necessity of stop advice → T07-2 Draft intern advice aspect 2 → T06 Determine necessity of stop advice → T07-2 Draft intern advice aspect 2 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
4158,Confirmation of receipt → T02 Check confirmation of receipt → T06 Determine necessity of stop advice → T04 Determine confirmation of receipt → T10 Determine necessity to stop indication → T05 Print and send confirmation of receipt
5135,Confirmation of receipt → T02 Check confirmation of receipt → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
6751,Confirmation of receipt → T02 Check confirmation of receipt → T06 Determine necessity of stop advice → T03 Adjust confirmation of receipt
5044,Confirmation of receipt → T02 Check confirmation of receipt → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
7016,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T08 Draft and send request for advice → T09-4 Process or receive external advice from party 4 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
4978,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T05 Print and send confirmation of receipt → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
8989,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T07-3 Draft intern advice hold for aspect 3 → T07-2 Draft intern advice aspect 2 → T06 Determine necessity of stop advice → T07-2 Draft intern advice aspect 2 → T07-3 Draft intern advice hold for aspect 3 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
9887,Confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T02 Check confirmation of receipt
8323,Confirmation of receipt → T06 Determine necessity of stop advice → T02 Check confirmation of receipt → T07-1 Draft intern advice aspect 1 → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
4111,Confirmation of receipt → T02 Check confirmation of receipt → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T10 Determine necessity to stop indication
4923,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T05 Print and send confirmation of receipt
7358,Confirmation of receipt → T06 Determine necessity of stop advice → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T07-2 Draft intern advice aspect 2 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
4553,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T07-4 Draft internal advice to hold for type 4 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
5595,Confirmation of receipt → T06 Determine necessity of stop advice → T08 Draft and send request for advice → T07-1 Draft intern advice aspect 1 → T07-2 Draft intern advice aspect 2 → T09-1 Process or receive external advice from party 1 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T02 Check confirmation of receipt → T03 Adjust confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
9076,Confirmation of receipt → T02 Check confirmation of receipt → T06 Determine necessity of stop advice → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T07-5 Draft intern advice aspect 5 → T08 Draft and send request for advice → T09-3 Process or receive external advice from party 3 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
4532,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T05 Print and send confirmation of receipt
4346,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T07-1 Draft intern advice aspect 1 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
8061,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T08 Draft and send request for advice → T09-3 Process or receive external advice from party 3 → T09-1 Process or receive external advice from party 1 → T07-3 Draft intern advice hold for aspect 3 → T07-5 Draft intern advice aspect 5 → T09-2 Process or receive external advice from party 2 → T09-4 Process or receive external advice from party 4 → T07-2 Draft intern advice aspect 2 → T07-1 Draft intern advice aspect 1 → T07-4 Draft internal advice to hold for type 4 → T06 Determine necessity of stop advice → T06 Determine necessity of stop advice → T06 Determine necessity of stop advice
5235,Confirmation of receipt → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
4827,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T05 Print and send confirmation of receipt → T11 Create document X request unlicensed
4249,Confirmation of receipt → T06 Determine necessity of stop advice → T02 Check confirmation of receipt → T10 Determine necessity to stop indication → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt
4081,Confirmation of receipt → T02 Check confirmation of receipt → T03 Adjust confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
4319,Confirmation of receipt → T02 Check confirmation of receipt → T06 Determine necessity of stop advice → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T10 Determine necessity to stop indication
6902,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T07-5 Draft intern advice aspect 5 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
709,Confirmation of receipt → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T06 Determine necessity of stop advice → T07-2 Draft intern advice aspect 2 → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication
3988,Confirmation of receipt → T06 Determine necessity of stop advice → T10 Determine necessity to stop indication → T11 Create document X request unlicensed → T12 Check document X request unlicensed → T02 Check confirmation of receipt → T04 Determine confirmation of receipt → T05 Print and send confirmation of receipt → T13 Adjust document X request unlicensed
