case_id,description
cev.TestCEV.test_1(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures$Type(java.lang.String,int)+start → cev.Failures$Type(java.lang.String,int)+complete → cev.Failures$Type(java.lang.String,int)+start → cev.Failures$Type(java.lang.String,int)+complete → cev.Failures$Type(java.lang.String,int)+start → cev.Failures$Type(java.lang.String,int)+complete → cev.Failures$Type(java.lang.String,int)+start → cev.Failures$Type(java.lang.String,int)+complete → cev.Failures$Type.values()+start → cev.Failures$Type.values()+complete → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.tliBurn()+start → cev.Spacecraft.readyForTliBurn()+start → cev.ErrorLog.log(java.lang.String)+start → cev.ErrorLog.log(java.lang.String)+complete → cev.Spacecraft.readyForTliBurn()+complete → cev.ErrorLog.last()+start → cev.ErrorLog.last()+complete → cev.CEV.tliBurn()+complete"
cev.TestCEV.test_10(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.lsamRendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+complete → cev.Spacecraft.doLSAMrendezvous()+start → cev.Spacecraft.doLSAMrendezvous()+complete → cev.CEV.lsamRendezvous()+complete"
cev.TestCEV.test_100(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.edsSeparation()+start → cev.Spacecraft.doEDSseparation()+start → cev.Spacecraft.doEDSseparation()+complete → cev.CEV.edsSeparation()+complete → cev.CEV.deOrbit()+start → cev.Spacecraft.readyForDeorbit()+start → cev.Spacecraft.readyForDeorbit()+complete → cev.CEV.deOrbit()+complete"
cev.TestCEV.test_1000(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.eiBurn(boolean,boolean)+start → cev.Spacecraft.readyForEiBurn()+start → cev.Spacecraft.configurationsize()+start → cev.Spacecraft.configurationsize()+complete → cev.Spacecraft.readyForEiBurn()+complete → cev.Spacecraft.doEiBurn(boolean,boolean)+start → cev.Spacecraft.doEiBurn(boolean,boolean)+complete → cev.CEV.eiBurn(boolean,boolean)+complete → cev.CEV.tliBurn()+start → cev.Spacecraft.readyForTliBurn()+start → cev.ErrorLog.log(java.lang.String)+start → cev.ErrorLog.log(java.lang.String)+complete → cev.Spacecraft.readyForTliBurn()+complete → cev.ErrorLog.last()+start → cev.ErrorLog.last()+complete → cev.CEV.tliBurn()+complete"
cev.TestCEV.test_1001(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.eiBurn(boolean,boolean)+start → cev.Spacecraft.readyForEiBurn()+start → cev.Spacecraft.configurationsize()+start → cev.Spacecraft.configurationsize()+complete → cev.Spacecraft.readyForEiBurn()+complete → cev.Spacecraft.doEiBurn(boolean,boolean)+start → cev.Failures.setCM_RCSfailure()+start → cev.Failures.setCM_RCSfailure()+complete → cev.Spacecraft.doEiBurn(boolean,boolean)+complete → cev.CEV.eiBurn(boolean,boolean)+complete → cev.CEV.lsamRendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+complete → cev.Spacecraft.doLSAMrendezvous()+start → cev.Spacecraft.doLSAMrendezvous()+complete → cev.CEV.lsamRendezvous()+complete"
cev.TestCEV.test_1002(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.eiBurn(boolean,boolean)+start → cev.Spacecraft.readyForEiBurn()+start → cev.Spacecraft.configurationsize()+start → cev.Spacecraft.configurationsize()+complete → cev.Spacecraft.readyForEiBurn()+complete → cev.Spacecraft.doEiBurn(boolean,boolean)+start → cev.Spacecraft.doEiBurn(boolean,boolean)+complete → cev.CEV.eiBurn(boolean,boolean)+complete → cev.CEV.lsamRendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+complete → cev.Spacecraft.doLSAMrendezvous()+start → cev.Spacecraft.doLSAMrendezvous()+complete → cev.CEV.lsamRendezvous()+complete"
cev.TestCEV.test_1003(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.eiBurn(boolean,boolean)+start → cev.Spacecraft.readyForEiBurn()+start → cev.Spacecraft.configurationsize()+start → cev.Spacecraft.configurationsize()+complete → cev.Spacecraft.readyForEiBurn()+complete → cev.Spacecraft.doEiBurn(boolean,boolean)+start → cev.Failures.setCM_RCSfailure()+start → cev.Failures.setCM_RCSfailure()+complete → cev.Spacecraft.doEiBurn(boolean,boolean)+complete → cev.CEV.eiBurn(boolean,boolean)+complete → cev.CEV.teiBurn()+start → cev.Spacecraft.readyForTeiBurn()+start → cev.Spacecraft.readyForTeiBurn()+complete → cev.CEV.teiBurn()+complete"
cev.TestCEV.test_1004(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.eiBurn(boolean,boolean)+start → cev.Spacecraft.readyForEiBurn()+start → cev.Spacecraft.configurationsize()+start → cev.Spacecraft.configurationsize()+complete → cev.Spacecraft.readyForEiBurn()+complete → cev.Spacecraft.doEiBurn(boolean,boolean)+start → cev.Spacecraft.doEiBurn(boolean,boolean)+complete → cev.CEV.eiBurn(boolean,boolean)+complete → cev.CEV.teiBurn()+start → cev.Spacecraft.readyForTeiBurn()+start → cev.Spacecraft.readyForTeiBurn()+complete → cev.CEV.teiBurn()+complete"
cev.TestCEV.test_1005(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.lsamRendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+complete → cev.Spacecraft.doLSAMrendezvous()+start → cev.Spacecraft.doLSAMrendezvous()+complete → cev.CEV.lsamRendezvous()+complete → cev.CEV.tliBurn()+start → cev.Spacecraft.readyForTliBurn()+start → cev.Spacecraft.readyForTliBurn()+complete → cev.CEV.tliBurn()+complete"
cev.TestCEV.test_1006(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.lsamRendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+complete → cev.Spacecraft.doLSAMrendezvous()+start → cev.Spacecraft.doLSAMrendezvous()+complete → cev.CEV.lsamRendezvous()+complete → cev.CEV.lsamRendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+complete → cev.Spacecraft.doLSAMrendezvous()+start → cev.Spacecraft.doLSAMrendezvous()+complete → cev.CEV.lsamRendezvous()+complete"
