case_id,description
cev.TestCEV.test_1562(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.deOrbit()+start → cev.Spacecraft.readyForDeorbit()+start → cev.Spacecraft.readyForDeorbit()+complete → cev.CEV.deOrbit()+complete → cev.CEV.srbIgnition()+start → cev.CEV.srbIgnition()+complete → cev.CEV.teiBurn()+start → cev.Spacecraft.readyForTeiBurn()+start → cev.Spacecraft.readyForTeiBurn()+complete → cev.CEV.teiBurn()+complete"
cev.TestCEV.test_929(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.stage2Separation()+start → cev.Spacecraft.doStage2Separation()+start → cev.Spacecraft.doStage2Separation()+complete → cev.CEV.stage2Separation()+complete → cev.CEV.abortPassiveLAScompletion()+start → cev.Spacecraft.doLowPassiveAbort()+start → cev.Spacecraft.doLowPassiveAbort()+complete → cev.CEV.abortPassiveLAScompletion()+complete → cev.CEV.lsamRendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+complete → cev.Spacecraft.doLSAMrendezvous()+start → cev.Spacecraft.doLSAMrendezvous()+complete → cev.CEV.lsamRendezvous()+complete → cev.CEV.tliBurn()+start → cev.Spacecraft.readyForTliBurn()+start → cev.Spacecraft.readyForTliBurn()+complete → cev.CEV.tliBurn()+complete"
cev.TestCEV.test_283(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.lsamRendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+complete → cev.Spacecraft.doLSAMrendezvous()+start → cev.Spacecraft.doLSAMrendezvous()+complete → cev.CEV.lsamRendezvous()+complete → cev.CEV.lasJettison()+start → cev.Spacecraft.doLASjettison()+start → cev.Spacecraft.doLASjettison()+complete → cev.CEV.lasJettison()+complete → cev.CEV.teiBurn()+start → cev.Spacecraft.readyForTeiBurn()+start → cev.ErrorLog.log(java.lang.String)+start → cev.ErrorLog.log(java.lang.String)+complete → cev.Spacecraft.readyForTeiBurn()+complete → cev.ErrorLog.last()+start → cev.ErrorLog.last()+complete → cev.CEV.teiBurn()+complete"
cev.TestCEV.test_2432(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.smSeparation()+start → cev.Spacecraft.doSMseparation()+start → cev.Spacecraft.doSMseparation()+complete → cev.CEV.smSeparation()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.edsSeparation()+start → cev.Spacecraft.doEDSseparation()+start → cev.Spacecraft.doEDSseparation()+complete → cev.CEV.edsSeparation()+complete → cev.CEV.lsamRendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+complete → cev.Spacecraft.doLSAMrendezvous()+start → cev.Spacecraft.doLSAMrendezvous()+complete → cev.CEV.lsamRendezvous()+complete"
cev.TestCEV.test_1147(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.lsamAscentRendezvous()+start → cev.Spacecraft.doLSAMascentRendezvous()+start → cev.Spacecraft.doLSAMascentRendezvous()+complete → cev.CEV.lsamAscentRendezvous()+complete → cev.CEV.eiBurn(boolean,boolean)+start → cev.Spacecraft.readyForEiBurn()+start → cev.Spacecraft.configurationsize()+start → cev.Spacecraft.configurationsize()+complete → cev.Spacecraft.readyForEiBurn()+complete → cev.Spacecraft.doEiBurn(boolean,boolean)+start → cev.Failures.setCM_RCSfailure()+start → cev.Failures.setCM_RCSfailure()+complete → cev.Spacecraft.doEiBurn(boolean,boolean)+complete → cev.CEV.eiBurn(boolean,boolean)+complete → cev.CEV.teiBurn()+start → cev.Spacecraft.readyForTeiBurn()+start → cev.Spacecraft.readyForTeiBurn()+complete → cev.CEV.teiBurn()+complete"
cev.TestCEV.test_987(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.completion()+start → cev.Failures.noLAS_CNTRLfailure()+start → cev.Failures.noLAS_CNTRLfailure()+complete → cev.Spacecraft.doLowActiveAbort()+start → cev.Spacecraft.doLowActiveAbort()+complete → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.completion()+complete → cev.CEV.stage1Separation()+start → cev.Spacecraft.doStage1Separation()+start → cev.Spacecraft.doStage1Separation()+complete → cev.CEV.stage1Separation()+complete → cev.CEV.teiBurn()+start → cev.Spacecraft.readyForTeiBurn()+start → cev.Spacecraft.readyForTeiBurn()+complete → cev.CEV.teiBurn()+complete"
cev.TestCEV.test_2125(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.edsSeparation()+start → cev.Spacecraft.doEDSseparation()+start → cev.Spacecraft.doEDSseparation()+complete → cev.CEV.edsSeparation()+complete → cev.CEV.teiBurn()+start → cev.Spacecraft.readyForTeiBurn()+start → cev.Spacecraft.readyForTeiBurn()+complete → cev.CEV.teiBurn()+complete → cev.CEV.lsamAscentBurn()+start → cev.Spacecraft.doLSAMascentBurn()+start → cev.Spacecraft.doLSAMascentBurn()+complete → cev.CEV.lsamAscentBurn()+complete → cev.CEV.teiBurn()+start → cev.Spacecraft.readyForTeiBurn()+start → cev.Spacecraft.readyForTeiBurn()+complete → cev.CEV.teiBurn()+complete"
cev.TestCEV.test_524(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.edsSeparation()+start → cev.Spacecraft.doEDSseparation()+start → cev.Spacecraft.doEDSseparation()+complete → cev.CEV.edsSeparation()+complete → cev.CEV.enterOrbitOps()+start → cev.Failures.noEARTH_SENSORfailure()+start → cev.Failures.noEARTH_SENSORfailure()+complete → cev.CEV.enterOrbitOps()+complete → cev.CEV.lsamRendezvous()+start → cev.Spacecraft.readyForLSAMrendezvous()+start → cev.ErrorLog.log(java.lang.String)+start → cev.ErrorLog.log(java.lang.String)+complete → cev.Spacecraft.readyForLSAMrendezvous()+complete → cev.ErrorLog.last()+start → cev.ErrorLog.last()+complete → cev.CEV.lsamRendezvous()+complete"
cev.TestCEV.test_2245(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.edsSeparation()+start → cev.Spacecraft.doEDSseparation()+start → cev.Spacecraft.doEDSseparation()+complete → cev.CEV.edsSeparation()+complete → cev.CEV.srbIgnition()+start → cev.CEV.srbIgnition()+complete → cev.CEV.srbIgnition()+start → cev.CEV.srbIgnition()+complete → cev.CEV.tliBurn()+start → cev.Spacecraft.readyForTliBurn()+start → cev.ErrorLog.log(java.lang.String)+start → cev.ErrorLog.log(java.lang.String)+complete → cev.Spacecraft.readyForTliBurn()+complete → cev.ErrorLog.last()+start → cev.ErrorLog.last()+complete → cev.CEV.tliBurn()+complete"
cev.TestCEV.test_606(),"cev.CEV()+start → cev.ErrorLog()+start → cev.ErrorLog()+complete → cev.Failures(cev.ErrorLog)+start → cev.Failures(cev.ErrorLog)+complete → cev.Spacecraft(cev.Failures,cev.ErrorLog)+start → cev.Spacecraft(cev.Failures,cev.ErrorLog)+complete → cev.CEV()+complete → cev.CEV.eiBurn(boolean,boolean)+start → cev.Spacecraft.readyForEiBurn()+start → cev.Spacecraft.configurationsize()+start → cev.Spacecraft.configurationsize()+complete → cev.Spacecraft.configuration()+start → cev.Spacecraft.configuration()+complete → cev.ErrorLog.log(java.lang.String)+start → cev.ErrorLog.log(java.lang.String)+complete → cev.Spacecraft.readyForEiBurn()+complete → cev.CEV.eiBurn(boolean,boolean)+complete → cev.CEV.teiBurn()+start → cev.Spacecraft.readyForTeiBurn()+start → cev.Spacecraft.readyForTeiBurn()+complete → cev.CEV.teiBurn()+complete → cev.CEV.tliBurn()+start → cev.Spacecraft.readyForTliBurn()+start → cev.ErrorLog.log(java.lang.String)+start → cev.ErrorLog.log(java.lang.String)+complete → cev.Spacecraft.readyForTliBurn()+complete → cev.ErrorLog.last()+start → cev.ErrorLog.last()+complete → cev.CEV.tliBurn()+complete"
