case_id,description
5595,Confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T08 Draft and send request for advice - complete → T07-1 Draft intern advice aspect 1 - complete → T07-2 Draft intern advice aspect 2 - complete → T09-1 Process or receive external advice from party 1 - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete → T02 Check confirmation of receipt - complete → T03 Adjust confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete
4641,Confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T02 Check confirmation of receipt - complete → T10 Determine necessity to stop indication - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete
4328,Confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete → T10 Determine necessity to stop indication - complete
9804,Confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete → T10 Determine necessity to stop indication - complete
7477,Confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete
11399,Confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete → T10 Determine necessity to stop indication - complete → T16 Report reasons to hold request - complete → T17 Check report Y to stop indication - complete → T19 Determine report Y to stop indication - complete → T20 Print report Y to stop indication - complete
6146,Confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete
4144,Confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete
10675,Confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete
3983,Confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T03 Adjust confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete → T05 Print and send confirmation of receipt - complete
7349,Confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete → T05 Print and send confirmation of receipt - complete
