case_id,description
9921,Confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T05 Print and send confirmation of receipt - complete → T10 Determine necessity to stop indication - complete → T11 Create document X request unlicensed - complete → T12 Check document X request unlicensed - complete → T14 Determine document X request unlicensed - complete → T15 Print document X request unlicensed - complete
7535,Confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete → T11 Create document X request unlicensed - complete → T12 Check document X request unlicensed - complete → T14 Determine document X request unlicensed - complete → T15 Print document X request unlicensed - complete
7349,Confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete → T05 Print and send confirmation of receipt - complete
5380,Confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T07-1 Draft intern advice aspect 1 - complete → T06 Determine necessity of stop advice - complete → T07-1 Draft intern advice aspect 1 - complete → T06 Determine necessity of stop advice - complete → T07-1 Draft intern advice aspect 1 - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete
5042,Confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T07-2 Draft intern advice aspect 2 - complete → T05 Print and send confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T07-2 Draft intern advice aspect 2 - complete → T06 Determine necessity of stop advice - complete → T07-2 Draft intern advice aspect 2 - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete
4808,Confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T05 Print and send confirmation of receipt - complete → T07-2 Draft intern advice aspect 2 - complete → T06 Determine necessity of stop advice - complete → T07-2 Draft intern advice aspect 2 - complete → T06 Determine necessity of stop advice - complete → T07-2 Draft intern advice aspect 2 - complete → T06 Determine necessity of stop advice - complete → T07-2 Draft intern advice aspect 2 - complete → T06 Determine necessity of stop advice - complete → T07-2 Draft intern advice aspect 2 - complete → T06 Determine necessity of stop advice - complete → T07-2 Draft intern advice aspect 2 - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete
4011,Confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete → T02 Check confirmation of receipt - complete → T03 Adjust confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T03 Adjust confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete
8989,Confirmation of receipt - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T07-3 Draft intern advice hold for aspect 3 - complete → T07-2 Draft intern advice aspect 2 - complete → T06 Determine necessity of stop advice - complete → T07-2 Draft intern advice aspect 2 - complete → T07-3 Draft intern advice hold for aspect 3 - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete
4997,Confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T08 Draft and send request for advice - complete → T09-1 Process or receive external advice from party 1 - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete → T05 Print and send confirmation of receipt - complete
5462,Confirmation of receipt - complete → T06 Determine necessity of stop advice - complete → T10 Determine necessity to stop indication - complete → T02 Check confirmation of receipt - complete → T04 Determine confirmation of receipt - complete → T05 Print and send confirmation of receipt - complete → T11 Create document X request unlicensed - complete
